section,table_name,name,details
05_COLUMN,coupons,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""histogram_bounds"": null, ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,driver_bonus_ledger,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""histogram_bounds"": null, ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,driver_locations,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": -1.0000, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""histogram_bounds"": ""{12c511eb-8c5c-4813-925a-8e98ac500133,60c8b9dd-9abd-4f66-bddc-fd4cd46718ee}"", ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,driver_revision_requests,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""histogram_bounds"": null, ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,driver_service_areas,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""histogram_bounds"": null, ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,driver_wallets,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 1.0000, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""histogram_bounds"": ""{bbbbbbbb-0001-0001-0001-bbbbbbbbbbbb,bbbbbbbb-0002-0002-0002-bbbbbbbbbbbb,bbbbbbbb-0003-0003-0003-bbbbbbbbbbbb}"", ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,drivers_profile,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": null, ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 1.0000, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""histogram_bounds"": ""{bbbbbbbb-0001-0001-0001-bbbbbbbbbbbb,bbbbbbbb-0002-0002-0002-bbbbbbbbbbbb,bbbbbbbb-0003-0003-0003-bbbbbbbbbbbb}"", ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,messages,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": -0.0067, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""histogram_bounds"": ""{003d4388-e56a-435b-9b1c-8a252703ba9b,004d8107-fcf6-4104-ae85-6f485e836e52,0187626c-213d-4d54-ae8d-1ce1f269376e,09b9c0bf-c5b9-480c-a84d-b483b0c0765b,119aec6e-26b5-4e63-aec1-4013508c603d,1490b27d-93d3-4c27-9ed1-3e407f07945b,1dc4d0fc-4b85-422c-b80d-489796a37118,231f0b5d-7f4e-423e-aad5-1c5d00a1b48b,30a16d7f-e51b-414c-81d0-1111d2c7b7d3,448e3a34-5a9f-4cd1-87be-39eabd35f4b7,483fc5f9-9107-4cb0-b853-470d7"", ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,messages,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": -0.0067, ""avg_width_bytes"": 16, ""distinct_values"": -1.00, ""histogram_bounds"": ""{003d4388-e56a-435b-9b1c-8a252703ba9b,004d8107-fcf6-4104-ae85-6f485e836e52,0187626c-213d-4d54-ae8d-1ce1f269376e,09b9c0bf-c5b9-480c-a84d-b483b0c0765b,119aec6e-26b5-4e63-aec1-4013508c603d,1490b27d-93d3-4c27-9ed1-3e407f07945b,1dc4d0fc-4b85-422c-b80d-489796a37118,231f0b5d-7f4e-423e-aad5-1c5d00a1b48b,30a16d7f-e51b-414c-81d0-1111d2c7b7d3,448e3a34-5a9f-4cd1-87be-39eabd35f4b7,483fc5f9-9107-4cb0-b853-470d7"", ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
05_COLUMN,notifications,id,"{""type"": {""udt_name"": ""uuid"", ""data_type"": ""uuid"", ""numeric_scale"": null, ""char_max_length"": null, ""numeric_precision"": null}, ""default"": ""gen_random_uuid()"", ""identity"": null, ""nullable"": false, ""position"": 1, ""generated"": null, ""statistics"": {""correlation"": 0.0000, ""avg_width_bytes"": 0, ""distinct_values"": 0.00, ""histogram_bounds"": null, ""most_common_freqs"": null, ""null_fraction_pct"": 0.00, ""most_common_values"": null}, ""description"": null}"
